hip,proper,ra,dec,mag,dist,spect,ci,con,bayer
25,,0.0053,-44.290561,6.28,81.367,G3IV,0.763,Phe,
34,,0.006638,26.918108,6.43,74.6269,F7.5IV-V,0.514,Peg,
43,,0.008593,59.559679,6.18,136.2398,G9III-IV,1.032,Cas,
50,,0.009533,-53.097713,6.49,59.4177,G1IV,0.616,Phe,
63,,0.012119,45.253334,6.36,187.9699,B9p SiEu,-0.047,And,
88,,0.017941,-48.809876,5.71,181.8182,G8III,0.911,Phe,Tau
106,,0.022013,49.981558,6.22,199.6008,G7II-III,0.97,Cas,
107,,0.022255,-50.337373,5.53,166.3894,M2III,1.615,Phe,
122,,0.026616,-77.065724,4.78,66.5779,K2III,1.254,Oct,The
124,,0.026949,61.222801,5.58,943.3962,F0III,0.407,Cas,
128,,0.027597,73.611846,6.5,70.7714,Am...,0.182,Cep,
137,,0.028847,42.367144,6.25,374.5318,B9IIIp Mn,-0.042,And,
145,,0.030402,-3.027504,5.13,139.2758,B7III-IV,-0.128,Psc,
154,,0.032672,-6.014072,4.37,132.4503,M3III,1.631,Psc,
171,,0.036139,27.082256,5.8,12.1699,G3V,0.69,Peg,
183,,0.038867,-29.720414,5.04,154.0832,B4V,-0.15,Scl,Zet
186,,0.040046,8.956824,6.33,122.8501,A6V,0.182,Psc,
194,,0.041584,8.485463,5.7,36.9004,F0V,0.315,Psc,
207,,0.043357,66.098966,5.87,100000.0,G8III,1.073,Cas,
238,,0.049301,-20.045882,6.25,61.1621,F6/F7V,0.526,Cet,
253,,0.052181,-24.145145,6.46,203.666,K1III,1.176,Cet,
274,,0.057143,63.64052,6.24,763.3588,B3Ia,0.332,Cas,
301,,0.06233,-17.335988,4.55,83.4725,B9IVn,-0.047,Cet,
302,,0.064342,66.712183,6.31,265.9574,M4,1.629,Cep,
330,,0.070462,62.287664,5.9,100000.0,A1III,0.274,Cas,
343,,0.072165,-16.529036,5.78,90.6618,K0III,1.084,Cet,
345,,0.07231,-29.268822,6.38,124.8439,A1V,0.006,Scl,
355,,0.075033,-10.509523,4.99,641.0256,K3Ibvar,1.619,Cet,
365,,0.07683,42.09253,6.11,386.1004,B9III,0.159,And,
377,,0.078131,-71.436891,5.59,175.4386,B8III,-0.1,Tuc,
379,,0.078304,67.166445,5.68,92.6784,K1III,1.051,Cep,
394,,0.081573,34.659797,6.09,39.185,G2V,0.632,And,
399,,0.08222,26.648764,6.25,200.0,K4IIIb,1.368,Peg,
410,,0.083662,27.674784,6.47,168.0672,G8II,0.946,Peg,
417,,0.084395,-0.503035,6.32,138.8889,G9III:,1.099,Psc,
418,,0.085039,61.31397,5.8,221.7295,B8MNp...,-0.067,Cas,
443,,0.088928,-5.707618,4.61,39.4945,K1III,1.029,Psc,
476,,0.094989,13.396266,5.55,114.2857,G5III,0.901,Peg,
518,,0.104356,58.436733,5.98,21.4777,G5V,0.687,Cas,
522,,0.105277,-49.075191,5.7,25.7136,G1IV...,0.519,Phe,
531,,0.10737,64.196168,5.57,265.9574,B9III,-0.023,Cas,
544,,0.110209,29.021502,6.07,13.6705,K0V,0.752,And,
560,,0.113911,-23.10754,6.19,39.3856,F2IV,0.386,Cet,
602,,0.121741,-17.38699,6.2,176.0563,A2IV/V,0.133,Cet,
635,,0.12892,-2.548679,6.43,183.4862,B8IIIsp...,-0.146,Psc,
636,,0.129693,-22.50856,5.93,78.3699,A1V,0.141,Cet,
655,,0.134303,-33.529326,5.67,94.9668,K1III,1.119,Scl,
664,,0.136693,-2.447711,6.18,279.3296,K2III,1.366,Psc,
671,,0.138204,-8.824112,5.99,98.4252,G8III:,1.034,Cet,
677,Alpheratz,0.139791,29.090432,2.07,29.7442,B9p,-0.038,And,Alp
695,,0.142462,63.20404,6.41,369.0037,G3II,0.998,Cas,
696,,0.142638,-17.578155,6.11,578.0347,M0/M1IIICNp,1.664,Cet,
699,,0.14471,36.627125,6.21,32.4465,F8IV,0.504,And,
716,,0.147814,25.462985,6.24,138.5042,K0III,0.976,Peg,
728,,0.150045,28.247543,6.47,110.8647,A4Vm,0.242,Peg,
729,,0.150672,18.211963,5.57,87.4126,G9III,1.043,Peg,
730,,0.15066,-54.001931,6.32,128.3697,G4IV...,0.738,Phe,
746,Caph,0.152887,59.14978,2.28,16.7842,F2III-IV,0.38,Cas,Bet
760,,0.155525,79.714545,6.01,105.4852,A7IV,0.203,Cep,
761,,0.155851,-27.987928,5.42,77.4593,F3V,0.414,Scl,Kap-1
765,,0.156836,-45.747426,3.88,44.2087,K0III,1.013,Phe,Eps
798,,0.164474,-62.296794,6.34,132.2751,A6V,0.164,Tuc,
813,,0.167278,11.145813,5.54,93.633,B9V,-0.064,Psc,
814,,0.167293,-82.224047,5.29,78.064,K1/K2III,1.049,Oct,Gam-3
840,,0.171908,-5.248588,5.84,58.309,K1III,0.973,Psc,
841,,0.172012,46.072272,5.01,377.3585,F2II,0.405,And,
873,,0.178565,-12.579897,5.84,75.0188,K0III,1.0,Cet,
910,,0.187739,-15.467977,4.89,18.7477,F5V,0.487,Cet,
930,,0.192894,-27.799737,5.41,243.309,K2III,1.346,Scl,Kap-2
950,,0.195552,-35.133119,5.24,21.2766,F3/F5V,0.459,Scl,The
967,,0.199741,48.152396,6.18,202.0202,K4III,1.467,And,
983,,0.202773,-17.938278,5.29,190.8397,K4III,1.478,Cet,
1009,,0.209484,44.707195,6.5,140.8451,K0,1.112,And,
1067,Algenib,0.220598,15.183596,2.83,120.048,B2IV,-0.19,Peg,Gam
1074,,0.222099,-84.993978,5.78,298.5075,M0/M1III,1.71,Oct,
1076,,0.223312,26.987545,6.24,131.406,G0III,0.68,And,
1086,,0.22524,41.03537,5.71,34.904,F0IV,0.331,And,
1096,,0.228401,-26.022345,5.94,396.8254,K5III,1.548,Scl,
1099,,0.228994,-26.284959,6.14,265.252,K4III,1.49,Scl,
1123,,0.233967,33.206039,6.22,103.1992,A1V,0.009,And,
1158,,0.241008,-7.780532,5.13,178.5714,M3IIIvar,1.601,Cet,
1168,,0.243378,20.206702,4.79,112.8668,M2III,1.572,Peg,Chi
1170,,0.244005,-18.932866,4.44,137.1742,M1III,1.64,Cet,
1191,,0.248476,-9.569571,5.77,103.8422,B9V,-0.084,Cet,
1193,,0.24886,22.284225,6.25,140.8451,A1p,-0.004,Peg,
1195,,0.249515,-34.904223,6.17,194.5525,K3III,1.344,Scl,
1196,,0.249677,8.820962,6.02,77.7605,F0IV,0.312,Psc,
1208,,0.25193,31.535725,6.34,286.533,K5,1.555,And,
1215,,0.252934,27.28344,6.35,135.1351,A1Vn,-0.002,And,
1269,,0.265239,61.000172,6.43,132.9787,G8III...,0.838,Cas,
1268,,0.265257,-75.911615,6.49,189.3939,G8/K0III,0.983,Hyi,
1288,,0.269126,-31.446394,5.66,152.207,K2III,1.35,Scl,
1296,,0.270527,76.950755,6.35,192.3077,B9Vn,-0.044,Cep,
1302,,0.272645,43.595049,6.12,106.4963,A2V,0.068,And,
1319,,0.276122,8.240154,6.12,125.0,G8II-III,0.919,Psc,
1331,,0.278429,-20.210061,6.5,182.8154,B6III/IV,-0.108,Cet,
1354,,0.282513,61.533185,5.74,190.1141,G8III,0.898,Cas,
1366,,0.284863,38.681636,4.61,94.697,A2V,0.059,And,The
1372,,0.285845,47.947405,5.86,343.6426,B7III,-0.079,Cas,
1402,,0.292417,-19.051092,6.46,48.4966,F3V,0.386,Cet,
1415,,0.295295,51.43309,6.11,735.2941,O9IIInn,-0.151,Cas,
1421,,0.296583,1.688727,6.19,117.3709,K0II,0.937,Psc,
1465,,0.304791,11.206214,6.07,153.8462,K0III,1.036,Psc,
1473,,0.305463,36.785224,4.51,41.3223,A2V,0.054,And,Sig
1493,,0.310625,31.517227,5.88,166.6667,A0IV,-0.014,And,
1499,,0.311629,-8.053001,6.47,23.245,G0V,0.674,Cet,
1501,,0.311712,43.791141,6.1,202.8398,B8V,-0.074,And,
1502,,0.31182,-43.235571,6.33,112.4859,K2III,1.21,Phe,
1562,,0.323799,-8.823921,3.56,84.1751,K2III,1.214,Cet,Iot
1575,,0.328212,40.729461,6.35,175.1313,K1III,1.179,And,
1599,,0.334142,-64.874791,4.23,8.5866,F9V,0.576,Tuc,Zet
1630,,0.340111,30.935614,5.89,159.7444,B7V,-0.098,And,
1639,,0.341924,48.968633,6.46,218.3406,G0,0.564,Cas,
1645,,0.343295,8.190271,5.38,125.0,K3III,1.343,Psc,
1647,,0.344178,-69.624913,5.5,97.561,B9V,-0.046,Tuc,Pi
1657,,0.345978,32.911186,5.79,191.9386,K5III,1.595,And,
1686,,0.352017,37.968603,5.16,48.5437,F5III,0.442,And,Rho
1706,,0.357986,-77.426873,5.96,174.8252,K3III,1.397,Hyi,
1708,,0.358665,-28.981469,5.18,101.3171,K0III,1.006,Scl,Iot
1728,,0.362853,-20.058024,5.61,270.2703,M5/M6Ib/II,1.58,Cet,
1772,,0.373745,13.482488,6.25,153.8462,K3III,1.225,Psc,
1803,,0.381051,-12.209438,6.39,20.8638,G3V,0.659,Cet,
1821,,0.384554,-15.942556,6.43,337.8378,M0III,1.595,Cet,
1921,,0.404348,52.019914,5.58,306.7485,B5IV,-0.11,Cas,
1939,,0.408236,-2.219064,6.08,151.7451,K1III,1.216,Psc,
1948,,0.410599,14.315514,6.48,180.5054,K0,1.161,Psc,
1960,,0.413193,61.831057,5.38,215.0538,B9III,0.008,Cas,
1982,,0.418445,53.046786,5.72,158.2278,B9IV,-0.056,Cas,
2006,,0.423391,1.939692,5.77,144.0922,G5III,0.855,Psc,
2021,,0.427916,-77.254247,2.82,7.4588,G2IV,0.618,Hyi,Bet
2072,,0.436716,-43.679829,3.93,23.8095,A7V,0.175,Phe,Kap
2081,Ankaa,0.438056,-42.305981,2.4,25.974,K0III...,1.083,Phe,Alp
2086,,0.439375,-18.693632,6.24,483.0918,M1III,1.622,Cet,
2100,,0.443726,-0.049533,6.16,138.3126,G8III,0.893,Cet,
2159,,0.454085,-25.54717,5.99,176.0563,K0III,1.022,Scl,
2178,,0.45863,16.025483,6.44,117.2333,A5,0.23,Psc,
2210,,0.465472,-33.007167,4.86,138.5042,M2/M3III,1.634,Scl,Eta
2213,,0.466241,19.514039,6.4,172.117,K0,0.99,Psc,
2219,,0.467475,17.893125,5.01,162.0746,M3IIIvar,1.584,Psc,
2224,,0.470195,16.445065,6.05,233.6449,K5III,1.58,Psc,
2225,,0.470454,44.394452,5.18,86.6551,A2Vs,0.043,And,
2235,,0.472236,10.189848,6.05,36.5497,F6Vawvar,0.447,Psc,
2237,,0.472528,-20.335051,6.44,32.1958,G3V,0.594,Cet,
2240,,0.474027,-39.915002,5.42,115.2074,M0III,1.556,Phe,
2256,,0.478632,-50.532859,6.26,125.3133,K0III,1.09,Phe,
2270,,0.482406,36.899694,6.28,162.0746,G5III,0.916,And,
2337,,0.497748,-14.864109,6.15,42.7533,F2/F3V,0.388,Cet,
2353,,0.500655,-3.957332,5.72,173.913,M0III,1.545,Cet,
2355,,0.502045,29.751557,5.2,62.7746,A7III,0.271,And,
2377,,0.505534,59.977554,5.94,235.8491,B9IIIn,-0.003,Cas,
2381,,0.506293,-23.78768,5.17,53.1067,A3V,0.128,Cet,
2383,,0.507242,-48.21491,5.67,43.0849,F2V,0.367,Phe,
2388,,0.507729,-40.939586,6.18,129.5337,F2III,0.315,Phe,
2422,,0.51511,77.019404,6.18,38.506,K0IV,0.883,Cas,
2472,,0.523594,-48.803514,4.76,52.9661,A0V,0.018,Phe,Lam-1
2474,,0.52367,66.519617,6.18,233.1002,B6V,-0.1,Cas,
2475,,0.523787,33.581642,5.88,116.144,K1III...,1.133,And,
2484,,0.525725,-62.958218,4.36,41.4079,B9V,-0.064,Tuc,Bet-1
2487,,0.525946,-62.965561,4.53,51.6529,A2V,0.147,Tuc,Bet-2
2497,,0.528105,52.839526,5.59,116.8224,K2III,1.163,Cas,
2505,,0.529539,54.522289,4.74,115.7407,B8Vn,-0.098,Cas,Lam
2548,,0.539939,6.955463,5.69,80.9717,B9.5V,-0.014,Psc,
2568,,0.543189,20.294316,5.38,80.0,K0III,1.069,Psc,
2578,,0.545512,-63.0315,5.07,45.5581,A0V,0.038,Tuc,Bet-3
2583,,0.546969,28.280241,6.26,158.4786,G8II,0.965,And,
2599,,0.549997,62.931783,4.17,100000.0,B1Ia,0.13,Cas,Kap
2611,,0.552879,54.894985,5.93,114.1553,K0III,1.037,Cas,
2628,,0.55534,70.981843,6.41,151.7451,A0Vn,-0.007,Cas,
2629,,0.556463,-71.266246,6.11,130.039,A7IV,0.265,Tuc,The
2661,,0.561401,-29.558278,5.55,165.0165,K1III,1.262,Scl,
2663,,0.56217,-35.002078,6.41,33.1126,F8/G0V,0.617,Scl,
2707,,0.573583,66.750351,6.47,189.7533,B9III,-0.049,Cas,
2711,,0.574374,-52.37309,5.57,25.4842,F3IV-V,0.472,Phe,
2734,,0.582046,13.371137,6.39,109.6491,K0,1.136,Psc,
2762,,0.587466,-3.592846,5.2,21.254,F8V...,0.567,Cet,
2787,,0.592454,-0.50561,5.94,54.4959,F5IV,0.444,Cet,
2789,,0.592591,-54.821873,6.04,70.7714,K0IV,1.001,Phe,
2802,,0.594767,-48.000907,5.51,34.8189,F6V,0.461,Phe,Lam-2
2832,,0.598557,13.207067,6.32,37.5657,F7V,0.517,Psc,
2846,,0.600877,-14.973035,6.45,115.3403,K0III,1.063,Cet,
2852,,0.601906,-22.842333,6.06,48.8759,A5m...,0.297,Cet,
2854,,0.602306,54.16845,5.08,164.4737,B7III,-0.098,Cas,
2876,,0.607595,60.326215,5.78,100000.0,A4III,0.294,Cas,
2889,,0.610449,-65.124445,6.43,211.8644,K2/K3III,1.26,Tuc,
2900,,0.612903,44.488587,5.14,189.0359,K5III,1.587,And,
2903,,0.613142,15.231725,5.89,318.4713,B2.5IV,-0.146,Psc,
2912,,0.61468,33.719344,4.34,183.4862,B5V,-0.123,And,Pi
2920,Fulu,0.616188,53.896909,3.69,181.8182,B2IV,-0.196,Cas,Zet
2926,,0.618664,24.014136,6.18,112.7396,K2III,1.17,And,
2937,,0.621727,-54.393819,6.4,146.8429,K0II/IIICN,0.995,Phe,
2941,,0.622393,-24.767267,5.57,15.4012,K1V+...,0.715,Cet,
2942,,0.622561,35.399501,5.45,259.7403,G5III,0.886,And,
2954,,0.625136,3.135351,6.43,223.2143,K4III,1.339,Psc,
3031,,0.642602,29.311751,4.34,50.226,G5III...,0.871,And,Eps
3056,,0.646883,-25.107819,6.43,273.9726,K4III,1.482,Scl,
3083,,0.652748,49.354589,5.45,641.0256,K5III,1.644,Cas,
3092,,0.655462,30.861024,3.27,32.352,K3III...,1.268,And,Del
3093,,0.656063,21.250472,5.88,11.0595,K0V,0.85,Psc,
3132,,0.663247,82.493762,6.38,33.2557,F6V:,0.551,Cep,
3137,,0.664428,-44.796293,6.0,94.162,K1IIICN...,1.142,Phe,
3138,,0.665436,21.438495,5.36,127.0648,F3V...,1.16,Psc,
3170,,0.673659,-59.454604,5.89,24.9563,G1V,0.564,Tuc,
3175,,0.674606,-16.516676,6.49,146.4129,G8III,0.91,Cet,
3179,Schedar,0.675116,56.537331,2.24,69.979,K0II-IIIvar,1.17,Cas,Alp
3185,,0.675771,-23.804876,6.14,28.885,G3/G5V,0.718,Cet,
3193,,0.678437,-4.351841,5.9,144.5087,K0III,1.091,Cet,
3231,,0.68533,39.458664,5.3,108.8139,G8III,0.891,And,
3245,,0.688766,-46.085007,4.59,75.358,G8III,0.953,Phe,Mu
3269,,0.693343,24.629008,6.06,126.7427,A7m,0.298,And,
3277,,0.69621,-56.501315,5.72,67.0241,Ap,0.131,Phe,Xi
3299,,0.700953,66.147592,5.83,158.4786,G9III-IV,1.042,Cas,
3300,,0.701081,50.512526,4.8,438.5965,B2.5V,-0.105,Cas,Xi
3330,,0.707869,-65.46803,5.38,41.0341,F6V,0.515,Tuc,Rho
3334,,0.708618,58.753411,6.18,336.7003,B9.5III,-0.004,Cas,
3352,,0.711609,-60.262807,5.99,70.8215,K5III,1.318,Tuc,
3356,,0.711914,-38.463483,6.05,145.1379,B9.5V,-0.024,Scl,Lam-1
3405,,0.722567,-57.46306,4.36,75.5287,A0IV,0.024,Phe,Eta
3414,,0.724466,47.024546,4.95,53.6769,A5V,0.17,Cas,Pi
3419,Diphda,0.72649,-17.986605,2.04,29.5334,K0III,1.019,Cet,Bet
3436,,0.73058,-12.011813,6.01,56.4016,K1III,1.107,Cet,
3455,,0.7365,-10.60955,4.77,71.6332,K0IIIvar,0.998,Cet,Phi-1
3456,,0.736683,-38.421686,5.9,103.8422,K1III,1.144,Scl,Lam-2
3478,,0.740612,47.863984,5.66,191.2046,B5V...,-0.113,Cas,
3489,,0.742107,-62.497591,6.06,87.6424,F5III/IV,0.446,Tuc,
3504,,0.74542,48.284364,4.48,215.5172,B5III,-0.069,Cas,Omi
3505,,0.745666,-22.006135,5.22,26.7451,F0V,0.35,Cet,
3521,,0.749187,-42.676558,5.94,64.3915,A7V,0.297,Phe,
3527,,0.749959,-53.714895,6.15,46.5983,F7III,0.524,Phe,
3544,,0.754774,55.221396,5.41,98.8142,A2Vs,0.022,Cas,
3552,,0.756702,-4.62916,6.15,253.8071,M0III,1.652,Cet,
3559,,0.757969,-12.88081,6.15,30.9981,G2V,0.603,Cet,
3572,,0.760862,74.988073,5.64,93.0233,A2IV,0.078,Cas,
3576,,0.761585,-16.42422,6.47,89.0472,F0IV,0.314,Cet,
3583,,0.76265,-47.551985,5.8,15.1584,G5IV,0.635,Phe,
3604,,0.769669,44.861497,6.03,131.0616,B9.5IIIMNp.,-0.063,And,
3607,,0.769929,-22.522097,5.49,93.2836,G8/K0III,0.978,Cet,
3632,,0.775822,15.475504,5.36,238.0952,M4III,1.559,Psc,
3641,,0.777313,69.325408,6.39,40.7498,F3V,0.424,Cas,
3649,,0.778462,59.574539,6.41,934.5794,G0Ib,1.081,Cas,
3675,,0.783738,11.973849,5.51,86.8056,G8II,0.987,Psc,
3685,,0.787118,19.578702,6.11,100.6036,F0Vn,0.27,Psc,
3693,Shimu,0.788981,24.267178,4.08,58.0046,K1II,1.1,And,Zet
3697,,0.789898,6.740956,5.98,141.2429,G8III,0.941,Psc,
3717,,0.795339,-18.061339,5.7,108.9325,K3III,1.3,Cet,
3721,,0.796119,74.847573,5.42,236.4066,B8III,-0.066,Cas,
3741,,0.800296,-21.722492,5.57,105.1525,B9V,-0.058,Cet,
3750,,0.802487,72.674482,5.86,61.237,K0IV,1.01,Cas,
3760,,0.804836,7.299928,5.92,177.6199,G8III,1.104,Psc,
3765,96 G. Psc,0.806382,5.280615,5.74,7.4549,K2V,0.89,Psc,
3781,,0.809777,-74.923438,5.09,64.9351,K5III,1.345,Hyi,Lam
3786,,0.811373,7.585079,4.44,95.4198,K5III,1.5,Psc,Del
3801,,0.813892,50.968168,4.9,126.2626,B9III,-0.091,Cas,Nu
3807,,0.815758,-46.697648,6.28,129.5337,G8III,0.897,Phe,
3810,,0.816308,16.940644,5.07,23.4522,F8V...,0.502,Psc,
3821,Achird,0.81826,57.815187,3.46,5.9531,G0V SB,0.587,Cas,Eta
3834,,0.82054,-24.136672,5.9,57.9039,K0III,0.944,Cet,
3849,,0.823782,-13.561274,5.59,85.1064,K3III,1.325,Cet,
3858,,0.825953,-23.362144,6.27,234.192,A3IV,0.132,Cet,
3881,,0.830234,41.078911,4.53,189.3939,B5V SB,-0.136,And,Nu
3885,,0.831433,27.710286,5.55,88.574,F5III+...,0.398,Psc,
3903,,0.834379,-43.394921,6.49,108.5776,A9/F0III,0.286,Phe,
3909,,0.835443,-10.644326,5.17,15.753,F7IV-V,0.514,Cet,Phi-2
3919,,0.838403,45.002258,6.13,100.3009,A0p...,0.043,And,
3949,,0.844768,-50.986816,5.24,74.239,F2III,0.356,Phe,Rho
3951,,0.845442,64.247549,5.35,196.0784,A4V comp SB,0.528,Cas,
3965,,0.849263,51.508032,6.38,67.2948,F2IV,0.307,Cas,
3988,,0.854551,61.805494,6.04,100000.0,K5Ib,1.88,Cas,
3992,,0.85509,3.38502,6.39,137.931,K0III,1.069,Psc,
4023,,0.859386,51.571427,6.22,306.7485,B9.5V,0.032,Cas,
4104,,0.877951,-24.005844,5.47,171.2329,K1III,1.275,Cet,
4147,,0.883471,-1.14426,4.78,179.8561,M0III,1.55,Cet,
4151,,0.884511,61.12397,4.8,18.7441,F8V,0.54,Cas,
4164,,0.886793,-24.776876,6.44,73.5835,F3V,0.439,Cet,
4185,,0.891173,37.418209,6.07,107.8749,K3III:,1.139,And,
4200,,0.893839,-62.871352,5.73,218.3406,M4III,1.574,Tuc,
4212,,0.896547,52.689293,6.27,88.4173,A5m,0.191,Cas,
4257,,0.904887,-8.740662,6.15,131.406,G5IV,0.911,Cet,
4267,,0.909785,19.188417,5.8,108.1081,A1Vn,-0.016,Psc,
4283,,0.914667,83.707435,5.59,87.7193,A4V,0.105,Cep,
4288,,0.916139,23.628335,5.46,37.9795,K1IV,1.012,And,
4292,,0.916715,58.972698,4.83,100.7049,K2III,1.216,Cas,Ups-1
4293,,0.916751,-69.527084,5.45,68.0272,G7III,1.095,Tuc,Lam-2
4298,,0.918114,48.67852,6.28,207.4689,M2.5IIIa,1.681,Cas,
4317,,0.920742,24.557062,6.19,173.913,M4III,1.546,Psc,
4346,,0.928444,-7.347149,5.88,184.5018,K5III,1.52,Cet,
4363,,0.932093,-27.775839,6.11,292.3977,M1/M2III,1.674,Scl,
4366,,0.93292,27.209381,6.08,77.7605,A5IV,0.133,Psc,
4371,,0.933747,-11.266526,5.35,168.9189,K4III,1.505,Cet,Phi-3
4382,,0.935867,13.95196,6.46,125.1564,G8II,0.962,Psc,
4383,,0.936931,57.996557,6.2,198.8072,K3III,1.376,Cas,
4422,Castula,0.944432,59.181056,4.62,61.2745,G8III-IV,0.957,Cas,Ups-2
4427,Cih,0.945143,60.71674,2.15,168.3502,B0IV:evar,-0.046,Cas,Gam
4436,,0.945885,38.499345,3.86,39.7772,A5V,0.13,And,Mu
4440,,0.946377,60.362836,5.56,165.0165,B8V,-0.054,Cas,
4446,,0.948624,68.775657,6.39,64.8929,F0m,0.375,Cas,
4463,Kui,0.953445,23.417648,4.4,70.4225,G8III-IV,0.94,And,Eta
4475,,0.955435,61.421895,6.44,198.8072,G8IV,0.94,Cas,
4501,,0.961012,45.839379,6.1,134.0483,K2III,1.028,And,
4510,,0.963931,28.992217,5.44,198.8072,G6III,1.076,Psc,
4520,,0.965142,13.695865,6.3,148.5884,G8III,0.895,Psc,
4552,,0.970615,33.950885,5.99,56.3698,K0,1.0,And,
4558,,0.971915,21.404495,6.47,129.7017,A2V,0.089,Psc,
4563,,0.972834,-60.696239,6.23,171.2329,Am,0.096,Tuc,
4572,,0.975285,66.351793,5.97,107.4114,A0III,-0.008,Cas,
4577,,0.976766,-29.357449,4.3,238.0952,B7IIIp,-0.154,Scl,Alp
4587,,0.978852,-11.379975,5.62,98.0392,G7III,0.949,Cet,Phi-4
4655,,0.997135,6.483225,6.14,332.2259,M2III,1.654,Psc,
4675,,1.000988,44.713243,5.69,119.0476,B9.5Vn,-0.01,And,
4709,,1.008587,70.982988,6.4,109.4092,A4IV,0.135,Cas,
4770,,1.02174,-38.916527,5.59,157.4803,K1III,1.185,Scl,Xi
4786,,1.024179,49.54422,6.48,322.5806,G5,1.099,Cas,
4801,,1.027401,-16.265573,6.47,92.8505,K2/K3III,1.184,Cet,
4829,,1.033838,-57.002389,6.12,120.6273,G8III,0.935,Phe,Ome
4844,,1.038463,51.034938,6.48,226.2443,A3V,0.122,Cas,
4852,,1.040674,-31.552005,5.5,71.2251,A1/A2IV,0.083,Scl,Sig
4879,,1.04525,-65.456102,6.25,265.9574,M2III,1.634,Tuc,
4889,,1.046971,31.804263,5.5,132.9787,B9.5V,-0.043,Psc,Sig
4890,,1.046997,-46.397311,5.39,73.0994,G8III,0.9,Phe,
4903,,1.048407,41.345157,5.95,107.2961,A5m,0.161,And,
4906,,1.049058,7.890135,4.27,55.7414,K0III,0.952,Psc,Eps
4911,,1.050423,47.376158,6.46,96.0615,A9V,0.248,And,
4914,,1.050705,-4.836601,5.4,102.2495,K0III-IV,1.106,Cet,
4932,,1.054918,-29.525848,6.28,130.039,G8IIICN...,0.932,Scl,
4962,,1.06028,61.074823,5.92,613.4969,F0II,0.512,Cas,
4979,,1.063619,1.366846,6.06,60.1323,F1V,0.271,Cet,
4998,,1.06733,52.502161,5.99,326.7974,K2,1.447,Cas,
5021,,1.072084,61.580184,5.83,80.7754,F6V,0.569,Cas,
5034,,1.074339,29.658806,6.2,44.287,F7IV-V,0.443,Psc,
5042,,1.075717,-33.532845,6.44,163.6661,K0III,1.071,Scl,
5074,,1.081288,5.656262,6.03,199.6008,K5III,1.525,Psc,
5081,,1.084821,14.946133,5.64,54.5852,F4II-III,0.42,Psc,
5121,,1.093579,-9.979323,6.09,92.9368,K0III,1.012,Cet,
5131,,1.094709,21.473181,5.33,84.317,A1Vn,0.003,Psc,Psi-1
5132,,1.094919,21.465442,5.55,85.9107,A0Vn,-0.048,Psc,Psi-1
5141,,1.097008,4.908372,6.35,40.6339,F4V...,0.383,Psc,
5165,,1.101407,-46.718414,3.32,100000.0,G8IIIvar,0.885,Phe,Bet
5164,,1.10143,-9.839354,5.58,180.8318,A1V,0.009,Cet,
5170,,1.102141,-23.992451,6.12,117.3709,K1III,1.076,Cet,
5175,,1.103111,32.181485,6.28,172.7116,K0,1.308,Psc,
5204,,1.109341,12.956039,6.14,133.3333,G8III,0.962,Psc,
5240,,1.116702,56.934972,6.41,99.108,K2III...,1.188,Cas,
5251,,1.119292,53.498185,6.31,512.8205,K0,1.499,Cas,
5259,,1.120255,-23.996334,6.36,68.7758,A3III,0.238,Cet,
5268,,1.121838,-61.775289,5.36,93.2836,G5III,0.884,Tuc,Iot
5296,,1.129502,-9.78555,5.71,47.1476,F7IV,0.446,Cet,
5300,,1.129957,-41.486916,5.21,56.9476,A3V,0.159,Phe,Ups
5310,,1.132544,20.739113,5.56,47.3037,A3V,0.121,Psc,Psi-2
5315,,1.13324,1.993042,6.44,48.4731,K0IV,0.847,Cet,
5317,,1.133559,43.942092,5.04,58.9623,A3m,0.109,And,
5319,,1.133701,32.01213,6.23,41.3907,F5IV,0.398,Psc,
5336,,1.137477,54.92034,5.17,7.554,G5Vp,0.704,Cas,Mu
5346,,1.1395,5.649819,5.51,35.2113,F0III-IV,0.334,Psc,
5348,Wurren,1.139742,-55.24576,3.94,91.5751,B6V + B0V,-0.12,Phe,Zet
5361,,1.142627,58.263449,5.77,184.8429,B8V,-0.019,Cas,
5364,,1.143164,-10.182264,3.46,37.9939,K2III,1.161,Cet,Eta
5372,,1.145613,86.25709,4.24,85.9107,K2II-III,1.213,Cep,
5412,,1.15341,80.011579,6.24,135.318,K0,0.922,Cep,
5434,,1.158368,47.241792,4.26,219.7802,B7III,0.012,And,Phi
5447,Mirach,1.162194,35.620558,2.07,60.5327,M0IIIvar,1.576,And,Bet
5454,,1.163667,19.658408,5.57,115.4734,G0III,0.697,Psc,Psi-3
5477,,1.168715,-57.694419,6.41,125.6281,G6II/III,0.888,Phe,
5483,,1.169845,15.673912,6.07,165.0165,M0III,1.535,Psc,
5485,,1.169985,-8.906135,6.4,118.624,K0III,1.029,Cet,
5493,,1.17188,42.081475,5.67,52.2739,F8V,0.603,And,
5494,,1.17207,25.457763,5.81,120.7729,K5III,1.466,Psc,
5510,,1.175987,2.44567,5.97,235.2941,K4III,1.491,Cet,
5518,,1.177579,68.778621,5.32,84.8896,A0Vnn,-0.014,Cas,
5542,,1.185017,55.149901,4.34,40.95,A7Vvar,0.17,Cas,The
5544,,1.185213,31.424736,5.15,147.2754,F0V,0.261,Psc,
