hip,proper,ra,dec,mag,dist,spect,ci,con,bayer
100122,,20.310853,34.982775,5.14,970.8738,F5Ib,0.66,Cyg,
100142,,20.313797,46.322194,6.46,793.6508,B2V,-0.123,Cyg,
100151,,20.315548,-47.710774,6.28,300.3003,M1III,1.657,Tel,
100155,,20.315983,39.004184,6.35,100000.0,K5Ib,1.871,Cyg,
100165,,20.317501,-63.230744,6.27,130.719,K0III,1.045,Pav,
100184,,20.32161,-47.580289,6.13,30.7692,F5V,0.469,Tel,
100195,,20.323223,-19.118533,5.28,343.6426,K2III,1.394,Cap,Sig
100208,,20.324805,13.216766,6.2,218.3406,M1III,1.648,Del,
100221,,20.326863,62.257472,5.71,115.8749,B9V,-0.043,Dra,
100232,,20.328685,-1.078514,6.05,120.4819,K0,1.093,Aql,
100250,,20.332234,46.837319,6.49,354.6099,B9p Si,-0.084,Cyg,
100256,,20.333386,13.548091,5.96,80.3213,A5m,0.299,Del,
100261,,20.334998,68.880317,5.59,205.3388,M5III,1.472,Dra,
100268,,20.337561,39.403226,6.22,180.5054,A1V,0.06,Cyg,
100274,,20.339034,14.569257,6.17,170.068,G8III,0.926,Del,
100276,,20.339279,17.792928,5.82,167.2241,K5III,1.5,Sge,
100295,,20.341844,53.595685,6.23,606.0606,K5,1.547,Cyg,
100300,,20.342309,-55.050882,6.27,282.4859,M0/M1III,1.617,Tel,
100310,Alshat,20.344393,-12.75908,4.77,77.6398,B9IV,-0.047,Cap,Nu
100325,,20.346263,-14.784892,6.09,104.0583,B9.5III/IV,-0.016,Cap,
100332,,20.347748,-35.673676,6.46,112.9944,K3III,1.311,Sgr,
100345,Dabih,20.350187,-14.781367,3.05,100.2004,A5:n,0.79,Cap,Bet
100357,,20.3532,63.980122,5.69,215.0538,K5III,1.561,Dra,
100379,,20.357883,-66.74969,6.49,44.6229,F6V,0.505,Pav,
100412,,20.361431,-49.999416,6.26,31.0174,G2IV-V,0.549,Tel,
100434,,20.367516,41.132137,6.38,403.2258,G5II+...,1.016,Cyg,
100435,,20.36762,24.446099,5.5,305.8104,B8IIIn,-0.09,Vul,
100437,,20.368156,45.794994,5.58,124.2236,K0IIIvar,1.077,Cyg,
100453,Sadr,20.370473,40.256679,2.23,561.7978,F8Ib,0.673,Cyg,Gam
100469,,20.374305,-42.049548,5.6,66.1376,A0V,0.002,Sgr,Kap-1
100486,,20.37703,31.264966,6.09,176.9912,K2,1.363,Cyg,
100501,,20.379249,41.026012,5.95,259.0674,M0III,1.632,Cyg,
100511,,20.381213,14.551098,6.16,26.2536,F8V,0.498,Del,
100515,,20.382089,42.983543,6.2,102.9866,K0IIIvar,0.957,Cyg,
100524,,20.383553,-9.65471,6.29,160.0,G5II-III,0.913,Cap,
100541,,20.386304,5.342987,5.3,75.5858,G8III-IV,0.983,Aql,
100574,,20.395658,37.476449,5.87,414.9378,B2Vne,-0.173,Cyg,
100587,,20.397671,32.190172,4.43,76.6284,K3III,1.331,Cyg,
100591,,20.398106,-42.422868,5.64,95.511,A3V,0.201,Sgr,Kap-2
100651,,20.408989,53.551934,6.49,649.3506,B9.5III,-0.025,Cyg,
100664,,20.410416,1.068406,6.14,247.5248,B9V,-0.036,Aql,
100672,,20.411599,1.368563,6.41,234.7418,K5,1.605,Aql,
100697,,20.415226,-83.310616,6.15,75.7002,A2/A3m...,0.203,Oct,
100714,,20.418057,59.600097,6.44,251.2563,A3III,0.094,Cyg,
100738,,20.424119,-28.663269,5.86,153.8462,G8II/III,1.101,Sgr,
100751,Peacock,20.427459,-56.73509,1.94,54.8246,B2IV,-0.118,Pav,Alp
100754,,20.427925,21.409642,5.68,145.7726,G6III,0.921,Vul,
100758,,20.428479,-2.800378,6.1,161.0306,K1III:,1.193,Aql,
100762,,20.428921,10.055999,6.32,230.4147,K5IIIvar,1.571,Del,
100764,,20.429985,-40.796184,6.08,104.8218,K3III,1.364,Sgr,
100779,,20.433657,19.865494,6.45,180.1802,K0III,1.037,Del,
100781,,20.433777,13.911612,6.35,364.9635,K5,1.453,Del,
100807,,20.439765,17.315559,6.23,310.559,K0,1.005,Del,
100808,,20.439853,56.638698,6.38,189.0359,B9V,0.018,Cyg,
100852,,20.448052,-37.402905,6.24,37.3274,K1IV,0.961,Sgr,
100859,,20.450624,49.383367,5.73,37.5657,F0V:,0.339,Cyg,
100866,,20.452159,34.329069,6.39,100000.0,F1II,0.48,Cyg,
100876,,20.453942,20.476485,6.44,434.7826,K0,1.03,Del,
100881,,20.455336,-18.211721,5.08,167.2241,B4V,-0.049,Cap,Pi
100907,,20.459517,38.440332,5.63,81.4332,A3V,0.072,Cyg,
100953,,20.468761,8.437448,6.23,94.518,G9III,1.074,Del,
100965,,20.470687,81.422708,5.38,139.6648,G9III,1.01,Dra,
100969,,20.471331,2.937161,6.2,124.2236,G8III,0.899,Del,
100977,,20.473585,-3.357794,6.12,184.8429,B9V,-0.049,Aql,
101011,,20.478775,-15.741499,6.41,197.6285,G8III,0.999,Cap,
101017,,20.479649,-35.595863,6.09,218.3406,B8II/III,-0.094,Mic,
101027,,20.481004,-17.813687,4.77,30.2663,F3V,0.386,Cap,Rho
101044,,20.48412,83.625417,6.19,91.2409,A4m,0.163,Dra,
101067,,20.488997,36.454729,5.9,793.6508,A1Ib,0.407,Cyg,
101076,,20.489926,30.368555,4.01,235.8491,F5II,0.404,Cyg,
101084,,20.490863,56.06819,5.89,265.9574,B9Vn,-0.052,Cyg,
101082,,20.490931,81.091277,5.96,63.7349,K0III+...,0.942,Dra,
101090,,20.492039,-22.391567,6.13,165.2893,K5III,1.543,Cap,
101093,,20.493015,62.994105,4.21,41.841,A7III,0.199,Cep,The
101101,,20.494167,-2.885531,4.91,61.2745,K2III,1.16,Aql,
101123,,20.498307,-18.583178,5.94,66.357,A1V,0.062,Cap,Omi
101133,,20.499978,45.928556,6.43,129.3661,K2+...,1.137,Cyg,
101134,,20.5002,72.531703,6.23,216.9197,K4III:,1.353,Dra,
101138,,20.500983,48.951569,4.94,278.5515,B2.5IV,-0.087,Cyg,Ome-1
101160,,20.50499,10.895924,6.03,227.7904,A1sh,-0.019,Del,
101211,,20.515778,-29.112666,6.35,209.205,A5V,0.227,Mic,
101213,,20.516153,20.606148,6.21,86.2813,A1m,0.138,Del,
101214,,20.516453,36.935839,6.21,100000.0,F5Iab,0.969,Cyg,
101221,,20.517863,-15.056168,6.1,116.8224,K1/K2III+..,0.797,Cap,
101243,,20.521893,49.220297,5.44,122.399,M2III,1.566,Cyg,Ome-2
101245,,20.522538,52.309526,6.2,115.2074,K0III,1.018,Cyg,
101260,,20.525112,74.954619,5.18,121.3592,A0p...,0.1,Dra,
101268,,20.52674,34.330373,6.47,45.9137,F2,0.422,Cyg,
101285,,20.529586,56.779858,6.14,234.7418,K5III,1.431,Cyg,
101300,,20.532836,25.804977,6.37,87.0322,Am,0.281,Vul,
101339,,20.539004,2.132808,6.47,354.6099,K2,1.514,Aql,
101345,,20.539915,-9.853384,5.66,24.4021,G3V,0.689,Cap,
101384,,20.547877,-24.943829,6.35,114.1553,A0V,0.001,Cap,
101421,Aldulfin,20.553547,11.303263,4.03,101.3171,B6III,-0.123,Del,Eps
101427,,20.554894,-80.964862,5.76,160.0,G6/G8II,1.122,Oct,
101467,,20.563487,41.772658,6.5,92.081,K0III-IV,0.994,Cyg,
101474,,20.565052,35.250852,4.61,847.4576,K2Ib comp,1.593,Cyg,
101475,,20.565234,46.693866,5.78,132.2751,B9sp...,-0.14,Cyg,
101477,,20.565297,-44.516048,5.12,71.736,K0III,0.999,Mic,Nu
